text,label,named_label
" כתבי האישום [א1] הוגשו [/א1] למיטתו של החשוד בבית החולים ""בלוויו"" במנהטן, שם הוא מחלים מפציעתו. החדר שבו מאושפז א-נוסייר, [א2] המחובר [/א2] לצינורות הזנה ומסכת חמצן, נמצא תחת שמירה משטרתית כבדה.",1,AFTER
" מכבי פ""ת ממשיך לאבד נקודות רק 1 1 עם מכבי יפו וירד למקום החמישי. בית""ר נתניה [א1] ניצח [/א1] 2 0 את מכבי עכו [א2] ועלה [/א2] מן המקום העשירי לשישי.",0,BEFORE
" דנון [א1] הסביר [/א1] כי בהתאם להחלטות הממשלה ולהנחיות היועץ המשפטי לממשלה, אין לשלם שכר בגין היעדרות ובגין שביתה. מעובדי מדינה [א2] העובדים [/א2] 5 ימים בשבוע ינוכו 3 ימי-עבודה, וממי שעובדים 6 ימים בשבוע ינוכו 4 ימים.",1,AFTER
" הסדרה [א1] מספרת [/א1] את סיפורה של משפחה ישראלית ממוצעת כמעט. האב (אברהם מור) עורך מוסף בעיתון יומי, האם (שושיק שני) שחקנית, הבת (ענת זמיר) עורכת-דין והבן (דני שטג) [א2] מנסה [/א2] את כוחו בעיתון המתחרה.",2,EQUAL
" המשטר הזה [א1] רוצה [/א1] לתת כמה שפחות ביטויים אופרטיווים להזדהות פורמלית עם סדאם חוסיין ועם המאבק נגד ישראל. אבל הוא מצוי במלכוד, כי מחד הוא תומך באש""ף ובמאבק בישראל, אבל מאידך יש לו מגבלה חמורה מאד, משום שבפועל הוא מנסה לנהל מדיניות הפוכה, [א2] שנועדה [/א2] שלא לשרוף את הגשרים עם ארה""ב ולא לחמם את הגבול עם ישראל.",2,EQUAL
" הוא כתב [א1] ודיבר [/א1] על מעורבות הבורא במהלך העניינים הארצי. המעשה [א2] הקובע [/א2] הוא רצון האל, קבע, וגם אם הוא עצמו יגיע לראשות הממשלה יבוא אסון גדול על מדינת ישראל אם תושביה לא יחזרו בתשובה.",3,VAGUE
" מדוע הפסקות החשמל מובנות מאליהן לחברת החשמל ולכן הופכות לשגרה? מדוע לפחות אין הם [א1] מפרסמים [/א1] התנצלות והסברים, באותו תקציב שבו הם משתמשים כדי ליצור תדמית ציבורית חיובית? איך זה שמדינה שבה יש מכשור מתקדם, הפסקות חשמל משבשות לעתים כה תכופות את העבודה? הפסקת מים בלתי מתוכננת עלולה להיות צרה צרורה, כשאתה ממהר לעבודה או סתם באמצע מקלחת. האם מים זורמים בבית שימוש או לשטיפת שיניים בכיור הם מותרות? מדוע [א2] מפסיקים [/א2] מים ללא התראה מראש ובכתב? בקיץ האחרון, ב21 וב31 באוגוסט סגר מישהו את הברז המרכזי לרחוב שלם בתל אביב, בשעה שבע וחצי בבוקר.",2,EQUAL
" לטובת חיפה שיחקו גם שלוש קבוצות צמרת הצמודות אליו, [א1] שהפסידו [/א1] ואיפשרו לחיפאים לנצל את ההזדמנות הזו במלואה. אל המקום השני נסוג בית""ר ירושלים, [א2] שירד [/א2] לנגב ואיפשר למארחו בבאר שבע להשיג את ניצחונו הראשון העונה (2 0), אחרי סידרה בלעדית מפתיעה של 5 תיקו בזה אחר זה.",0,BEFORE
" בעבר [א1] כתב [/א1] שני מחזות, ""הכושי עשה את שלו"" (הקאמרי, 7691) ו""תפוס את הגנב"" (הבימה, 3791). כיוון שלפיד [א2] עסוק [/א2] מאוד, הן בכתיבה עיתונאית ב""מעריב"" והן בתפקידו כנציגו של רוברט מקסוול במזרח אירופה, איפשרו לו לכתוב שבעה מתוך 21 פרקי הסדרה עם אדם נוסף.",0,BEFORE
" הוועד דורש במכתבו להיות שותף בכל החלטה על עתיד החברה ובמיוחד לגבי מכירה אפשרית של מניותיה וכן לאפשר לעובדים להשתתף במכרז במסגרתו יוצאו למכירה מניות של החברה וזאת בתנאים שווים מול משקיעים אחרים. פנייתו של ועד העובדים למנכ""ל רשות החברות הממשלתיות [א1] באה [/א1] בהמשך למכתב שחברי הוועד שיגרו לשר האוצר יצחק מודעי ולשר התחבורה משה קצב, לפני 01 ימים, שבו דרשו כי חלק ממניות הממשלה שיונפקו בבורסה לניירות ערך, [א2] יוקצו [/א2] לעובדים בתנאים מועדפים, כפי שנעשה לגבי חברת ""בזק"".",0,BEFORE
" כך עשה גם בליגה להגנה בברוקלין. בארץ שיחרר בלמים אצל קבוצות השוליים, [א1] והצליח [/א1] להניח על השולחן רעיונות שגם אנשים מן היישוב הוגים בהם, אך אינם [א2] מעיזים [/א2] לבטא אותם (עד לעת האחרונה).",1,AFTER
