id,document_number,window_number,pair_number,text,hadar,shir
15.48.212,15,48,212," במחנה פליטים סמוך לשכם נפגע תושב מקומי מפגיעת רימון גז מדמיע, שנורה בידי חיילים. מקורות פלשתיניים [א1] מסרו [/א1] כי חיילים, שירדו ממיניבוס לבן בשכונת ראפידיה בשכם, [א2] ניפצו [/א2] בעזרת אבנים זגוגיות של מכוניות חונות של תושבים מקומיים, ביניהן גם את חלונות מכוניתו של דר מוסטפא מקבול.",AFTER,AFTER
17.4.46,17,4,46," האיש שנפל קורבן לכדורי אקדח שנורו על-ידי ערבי, [א1] הצית [/א1] במותו את האיבה לערבים. האש הזאת [א2] תוסיף [/א2] ללחוש, גם אם הלהבה של יום קבורתו של מאיר כהנא תדעך במקצת.",BEFORE,BEFORE
126.4.9,126,4,9," הסמינר [א1] כולל [/א1] מסע לאפקוט ועבודה מעשית בציור או רישום. סמינר ממושך מקצועי יותר החל השנה, [א2] ונערך [/א2] שלושה ימים.",,BEFORE
54.26.144,54,26,144," ח""כ ראובן ריבלין, שהתמודד על התפקיד, ביקש לפחות להתמנות כחבר בוועדת חוץ וביטחון, בעקבות פינוי מקום לסיעה בוועדה זו בשל פרישתו של הח""ך לשעבר זלמן שובל, אך הסיעה החליטה לדחות את ההחלטה בעניין. ח""כים אחדים טענו בהנהלת הסיעה כי ריבלין [א1] פסול [/א1] כחבר בוועדת חוץ וביטחון מפני שלא [א2] השתתף [/א2] השבוע בהצבעה במליאת הכנסת על הסרת חסינותו של ח""כ מוחמד מיעארי.",,AFTER
99.49.40,99,49,40," כל פעולה של איגוד נרשמת עם פירוט התקציב המצטבר, כמה [א1] הוצא [/א1] בפועל ומה היתרה. האיגודים [א2] מקבלים [/א2] אחת לחודש דוח""ות מפורטים.",BEFORE,BEFORE
126.5.12,126,5,12," סמינר ממושך מקצועי יותר [א1] החל [/א1] השנה, ונערך שלושה ימים. בנוסף להכרת הסביבה, [א2] ילמדו [/א2] המשתתפים את סודות הניהול של המקום, ויישמו את חלקם בשטח.",,BEFORE
29.0.0,29,0,0,"מי היה [א1] מאמין [/א1] לפני כמה חודשים, כי הדרבי של אשדוד יהיה המשחק המדובר ביותר בליגה הארצית ואולי אף יותר מכך. שתי הקבוצות מעיר הנמל, הפועל ועירוני, [א2] נאבקו [/א2] בליגה א על כרטיסי העליה לארצית ואכן עשו זאת.",,BEFORE
101.6.18,101,6,18," חלקם אף הגיבו בשריקות מחאה. הם ודאי יודעים, כמו שחקני מכבי ומאמנם, כי לא כל שבוע [א1] פוגשים [/א1] בסנטה קלאוס, בתחפושת מאמן כדורגל וחניכיו המחלקים מתנות לכל דיכפין במגרשם [א2] פולט [/א2] הנקודות.",BEFORE,VAGUE
27.75.467,27,75,467," מותו של סאלם איסמעיל מובארק רק ריחף בחלל האולם שבו [א1] התנהל [/א1] המשפט, אך לא נחת על שולחנם של השופטים תת-ניצב אברהם מלכה, ניצב משנה זיווה פרי-הר, וסגן-ניצב משה אלכסנדרוני. על פי עסקת טיעון בין התובעת, מפקח הדס שפי, לסנגוריות, פקד יהודית עליאוף ופקד זהבה לייב, הושמטה מגיליון האישום המקורי העובדה שבנסיבות שבהן [א2] חרגו [/א2] שני הנאשמים מנוהל הפתיחה באש נהרג אדם, כפרי בן 62, אב לארבעה, שחרש באותה שעה את חלקת האדמה המשפחתית באזור בית סחור.",AFTER,AFTER
17.19.161,17,19,161," הפלשתינאים שביצעו רציחות בבקעה ובאשקלון וניסו לרצוח שתי חיילות בצומת אלונים [א1] פעלו [/א1] גם הם על דעת עצמם; באותו אופן עלולים ""לפעול"" יהודים כדי לתת פורקן לרגשותיהם הנסערים, בביצוע פיגוע שתנועת ""כך"" לא יזמה או אישרה. הדעת נותנת כי התנועה הממוסדת [א2] תקפיד [/א2] להימנע מכל מהלך העלול לסכן את חוקיות קיומה.",BEFORE,BEFORE
27.97.747,27,97,747," הרושם הזה התחזק כשהתברר שמכתב ששיגר עו""ד דרוויש נאסר, פרקליטה של משפחת ההרוג, ללשכת שר המשטרה דאז, חיים בר-לב, לא [א1] טופל [/א1] כלל, ושפניות של ח""כ דדי צוקר ושל אדי קאופמן (מעבידו של מובארק) לא נענו אף הן. רק לחץ הפרסומים ב""הארץ"" [א2] הניע [/א2] את המערכת לפעול.",BEFORE,BEFORE
131.38.93,131,38,93," כי במו""ם צריך לעמוד על שלך, צריך להציג עמדות [א1] משכנעות [/א1] ורציניות, וצריך גם לדעת להתפשר. הימין [א2] חושש [/א2] לשבת מול פייסל חוסייני ולהגיד לו אדוני רוצה את יפו? לא.",NONE,AFTER
89.5.29,89,5,29," אשתו האמריקאית, קארן, יושבת בחדרו לבושה בגלימה מוסלמית מסורתית סגולה ורעלה. סניגורו של הנאשם, מייקל וורן, האשים אתמול את המשטרה [א1] שהמשיכה [/א1] לחקור את הנאשם בליל שלישי במשך שלוש שעות, למרות [א2] שקיבלה [/א2] הוראה משפטית מפורשת שלא לעשות זאת.",AFTER,AFTER
135.23.71,135,23,71," כעבור יומיים, הוא טילפן אלי, לירושלים, הודיע לי שבדק את כל קו הייצור [א1] ומצא [/א1] כי אין תקלה בתרופה עצמה, אלא שהיא יבשה מהרגיל ומתפוררת יותר. הוא [א2] הבטיח [/א2] לשלוח לי בדואר חוזר משלוח מלא מקו ייצור קודם.",,BEFORE
65.9.81,65,9,81," כמו-כן טוען מנהל החברה כי פנה למנהל הסניף וביקש ממנו ערבות בנקאית כדי לקבל הלוואות חיצוניות נוחות (מחוץ לבנק). לטענת מנהל החברה, [א1] הודיע [/א1] לו מנהל סניף הבנק כי הוא חייב לקבל הלוואה אך ורק באמצעות מלווה בשוק האפור, אדם בשם מנחם פרבר, שאם לא כן לא [א2] יכבד [/א2] הבנק צקים של החברה.",BEFORE,BEFORE
108.13.44,108,13,44," נקודה נוספת הראויה לציון, היא שהפועל ירושלים [א1] משחק [/א1] תמיד נגד קבוצה שנחה וגם ""ריגלה"" אחריה ובכל זאת הצליחה להפגין עליונות, פרט למעידה בבית נגד מכבי רמת גן. ""מה [א2] שיקבע [/א2] בסופו של דבר זה הפליי-אוף"", אומר חרוש.",BEFORE,VAGUE
60.3.56,60,3,56," לדבריו [א1] הוקם [/א1] באלביט גוף שמפקח על הקניות ובודק כל הזמנה המיועדת לחו""ל, אם ניתן לרכוש אותה בארץ. עוד נמסר כי אלביט תעביר לרשות לשיתוף פעולה את רשימות החברות בחו""ל שמהן היא [א2] קונה [/א2] מוצרים, כדי שהרשות תפעל להשגת רכש גומלין מאותן חברות.",,AFTER
67.15.24,67,15,24, יבוא מוצרי צריכה [א1] ירד [/א1] ב8%. באוקטובר [א2] הסתכם [/א2] יצוא הסחורות ב149 מיליון ד: 66% יצוא תעשייתי; 13% יצוא יהלומים; ו3% יצוא חקלאי.,AFTER,BEFORE
85.5.18,85,5,18," קמחי [א1] תבע [/א1] לפצותו בעיקר על הפרת חוזה העבודה בטרם עת, ולשלם לו פיצויים בגובה שכרו הצפוי לעתיד, פיצויי פטורים מוגדלים בגין שנות העבודה, פדיון חופשה, גמול הודעה מוקדמת וכו, בסכום כולל של כ057 אלף ש""ח. הצדדים [א2] הסכימו [/א2] בזמנו לעקל את משרדי דיור לעולה בתל-אביב בסכום של 052 אלף דולר, כדי להבטיח שלקמחי יהיה ממה לגבות הכספים למקרה שיזכה.",BEFORE,BEFORE
1.6.14,1,6,14," המאמן רז אמר, כי קביעת משחקי המיבחן תיעשה רק לאחר [א1] שיתברר [/א1] אם הטורניר יהיה בישראל. המאמן רז [א2] ביקש [/א2] שנבחרת הנוער תתמודד עם האולימפיים של פולין, אך המשחק לא יצא לפועל בגלל חוסר תיאום לגבי המועד.",VAGUE,AFTER
37.1.7,37,1,7," מרכז הכובד של הליגה האנגלית [א1] עובר [/א1] השבת מהצמרת לתחתית, מהמובילה ליוורפול ליריבתה העירונית אוורטון, המדורגת 71 ומנסה להיחלץ מהמצוקה בהנהגת מנהלה החדש-ישן הווארד קנדל. הוא פרש מתפקידו במנצסטר סיטי רק לפני שלושה ימים, כדי להחליף את קולין הארווי [א2] שישמש [/א2] מעתה סגנו.",BEFORE,BEFORE
63.4.28,63,4,28," כן נטען שהחופש שניתן אז ליוזמה החופשית [א1] הביא [/א1] מאוחר יותר לפיתוח כלכלי ולהרחבת היוזמה הפרטית בארץ-ישראל. בשלושה נושאים עיקריים [א2] עסק [/א2] הכנס: ביוזמות הכלכליות הלא-יהודיות שהיו בראשית המאה ברחבי ארץ-ישראל, ביוזמות הפרטיות ביישוב הישן בעיקר בירושלים ובצפת, וביוזמות ביישוב החדש, בעיקר במושבות הברון.",BEFORE,BEFORE
65.0.10,65,0,10,"המשפט המחוזי בתל-אביב הוגשה השבוע תביעה בסכום של 905 אלף ש""ח [א1] שהגישה [/א1] חברת הביטוח רותם נגד סוכני הביטוח אבנר קופל, בעל סוכנות ביטוח בתל-אביב, ונגד ראובן עופרי מנהל סוכנות ביטוח בחיפה. בתביעה שהוגשה בסדר דין מקוצר טוענת פרקליטת חברת הביטוח, עו""ד רחל בלומנטל, כי שני הנתבעים [א2] התקשרו [/א2] עם חברת הביטוח אושיות (בפירוק) להנפקת פוליסות ביטוח לעובדי חברת החשמל, והכספים המגיעים לרותם הם סכומי הפרמיות שנגבו מעובדי חברת החשמל (או שהיו צריכים להיגבות).",AFTER,AFTER
45.13.49,45,13,49," זה הדבר האחרון שחוסיין רוצה בו, אבל הוא לא בולם את האווירה הקיצונית [א1] וכשמתחילה [/א1] הידרדרות לאורך הגבול עם ישראל והשלטון הירדני מאפשר לגורמים קיצוניים לפעול באופן עצמאי, הוא עלול לאבד את הריבונות הירדנית וליצור תהליך של לבנוניזציה של ירדן. התופעה הזו מעניינת, כי אם אמנם יוברר בוודאות שאנשי כוחות הביטחון הכללי (משטרת הביטחון) נמנו על המחבלים, זה מעיד על כך שגם קיצוניים איסלמים רדיקליים, [א2] הצליחו [/א2] לחדור אל הגוף האחראי על ביטחון הפנים בירדן.",VAGUE,BEFORE
128.25.135,128,25,135," ""בני"". אז [א1] שינה [/א1] המו""ל את טעמו והחל לשלם לו לפי הברות, ומיד [א2] הופיעה [/א2] בספר דמות חדשה של גיבור מגמגם.",,BEFORE
27.36.288,27,36,288," הוא ראה בבגין אדם שבגד באמונתו ובעמו, ובמאמר ב""גואיש פרס"" פסק כי ראש הממשלה לקה ב""חילול השם"" בכך שהפחד שלו מהגויים [א1] גבר [/א1] על יראת ה. כהנא [א2] פנה [/א2] למגזרים היותר נידחים של החברה הישראלית כדי לשאוב מתוכם את כוחו הפוליטי.",AFTER,VAGUE
26.21.89,26,21,89," [א1] נותר [/א1] רק הקול הנפלא ויכולת הקריאה. במשך שעה תמימה ישוב באחוזתו היפהפייה שתיכנן בעצמו כסדרה של תפאורות במה בנוף פסטורלי ירוק, והמוות [א2] מרחף [/א2] בחלל האוויר הוא קורא משיריהם של מילטון, שייקספיר, אודן, ומהסונטות של אליזבת בראונינג.",,BEFORE
22.23.109,22,23,109," פחד מחסידיו של כהנא, ממתנחלים ומתלמידי ישיבות ברובע המוסלמי, שרובם חמושים ולא ברור אם הרשויות [א1] יחסמו [/א1] אותם. מה שמרגיע מעט את הפחד בציבור הערבי הוא הידיעה, שבנסיבות הפוליטיות הנוכחיות פגיעה בערבים [א2] גורמת [/א2] נזק עצום לישראל.",,AFTER
69.21.132,69,21,132," דנון הסביר כי בהתאם להחלטות הממשלה ולהנחיות היועץ המשפטי לממשלה, אין לשלם שכר בגין היעדרות ובגין שביתה. מעובדי מדינה העובדים 5 ימים בשבוע [א1] ינוכו [/א1] 3 ימי-עבודה, וממי שעובדים 6 ימים בשבוע [א2] ינוכו [/א2] 4 ימים.",EQUAL,EQUAL
11.62.157,11,62,157," בקרב אקדמאים שאינם [א1] מוזמנים [/א1] לוועידות אלה שוררת ציניות רבה באשר למטר כרכי המאמרים והניירות המונפקים בחסות קרנות. אין זה סביר שעל שולחנות עיתונאים ומעצבי מדיניות רובצים כל כרכי ""אמריקן אקונומיק ריוויו"" של שלוש השנים האחרונות, אך בהחלט הגיוני שיש להם כמה כרכים [א2] המספקים [/א2] מידע בנושא נתון במינונים קטנים וחזקים.",VAGUE,VAGUE
17.30.210,17,30,210," זה [א1] המגנה [/א1] את רוצחו של מאיר כהנא, מן הראוי שישמיע את קולו נגד כל רצח, ואסור לו להיות מושפע מהשקפותיו הפוליטיות. יש ליצור אווירה ציבורית שתשים סכר מפני תעמולתה של תנועת ""כך"", ושתרחיק את הסכנה שיהודים [א2] ייפגעו [/א2] מכלים שיקותיאל בן-יעקב קרא להפעלתם.",BEFORE,BEFORE
11.55.127,11,55,127," יש אנשים [א1] המתקשים [/א1] להבטיח בפרצוף פוקר שהם יציעו פתרון לבעיה חברתית מרכזית. לאנשים אלה מומלץ ליהפך לקטליזטורים: לקבץ יחד אנשים רבים [א2] היכולים [/א2] להבטיח פתרונות או שלפחות יכולים היו, אילו סגרו אותם במרכז ועידות במשך ימים, להציע פתרון.",EQUAL,VAGUE
122.15.341,122,15,341," לא מי-יודע-מה בהשוואה לציפיות המתעוררות בלב לקוח תמים למקרא הודעת הבנק! לעומת זאת, הלקוח התמים [א1] יתקשה [/א1] להבין מהודעת הבנק, שאם יסכים לקבל את ""התנאים הניתנים לחוסכים ותיקים בלבד"", יפסיד במעבר מתוכנית לתוכנית. במקרה של הלקוחה הנ""ל היה מדובר במדד אוקטובר, הנאמד בכשני אחוזים [א2] ושקול [/א2] כנגד ריבית של שנתיים.",,VAGUE
